t=2026-05-15T15:39:24+0200 lvl=info msg="command usage" msg="Flag --domain has been deprecated, use --url instead"
t=2026-05-15T15:39:24+0200 lvl=info msg="no configuration paths supplied"
t=2026-05-15T15:39:24+0200 lvl=warn msg="ngrok config file found at both XDG and legacy locations, using XDG location" xdg_path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml legacy_path=C:\\Users\\PC\\.ngrok2\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="using configuration at default config path" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-15T15:39:24+0200 lvl=info msg="open config file" path=C:\\Users\\PC\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-15T15:39:24+0200 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-15T15:39:25+0200 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-15T15:39:25+0200 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-15T15:39:25+0200 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-15T15:40:05+0200 lvl=info msg="join connections" obj=join id=8ce0bed53a5e l=127.0.0.1:8000 r=81.221.235.143:59854
t=2026-05-15T15:40:05+0200 lvl=info msg="join connections" obj=join id=7d2907a6e902 l=127.0.0.1:8000 r=81.221.235.143:62554
t=2026-05-15T15:40:06+0200 lvl=info msg="join connections" obj=join id=df21993c5611 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:06+0200 lvl=info msg="join connections" obj=join id=c969aac1f899 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:06+0200 lvl=info msg="join connections" obj=join id=97feced673d3 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:06+0200 lvl=info msg="join connections" obj=join id=d77017237b7b l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:06+0200 lvl=info msg="join connections" obj=join id=6143854cfdad l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:06+0200 lvl=info msg="join connections" obj=join id=93c1af4a2b56 l=127.0.0.1:8000 r=81.221.235.143:63770
t=2026-05-15T15:40:08+0200 lvl=info msg="join connections" obj=join id=35de4ab7c74c l=127.0.0.1:8000 r=81.221.235.143:64957
t=2026-05-15T15:40:08+0200 lvl=info msg="join connections" obj=join id=e0a409cf6f33 l=127.0.0.1:8000 r=81.221.235.143:59702
